province,tpye,data
湖北,confirm,61682
湖北,dead,1921
湖北,heal,9128
湖北,new_confirm,1746
广东,confirm,1331
广东,dead,5
广东,heal,571
广东,new_confirm,3
河南,confirm,1262
河南,dead,19
河南,heal,552
河南,new_confirm,5
浙江,confirm,1173
浙江,dead,0
浙江,heal,544
浙江,new_confirm,1
湖南,confirm,1008
湖南,dead,4
湖南,heal,542
湖南,new_confirm,1
安徽,confirm,986
安徽,dead,6
安徽,heal,424
安徽,new_confirm,4
江西,confirm,934
江西,dead,1
江西,heal,362
江西,new_confirm,1
江苏,confirm,631
江苏,dead,0
江苏,heal,296
江苏,new_confirm,2
重庆,confirm,555
重庆,dead,5
重庆,heal,254
重庆,new_confirm,2
山东,confirm,544
山东,dead,3
山东,heal,215
山东,new_confirm,1
四川,confirm,514
四川,dead,3
四川,heal,177
四川,new_confirm,6
黑龙江,confirm,470
黑龙江,dead,12
黑龙江,heal,108
黑龙江,new_confirm,6
北京,confirm,393
北京,dead,4
北京,heal,145
北京,new_confirm,6
上海,confirm,333
上海,dead,2
上海,heal,186
上海,new_confirm,0
河北,confirm,306
河北,dead,4
河北,heal,136
河北,new_confirm,4
福建,confirm,293
福建,dead,0
福建,heal,96
福建,new_confirm,1
广西,confirm,244
广西,dead,2
广西,heal,76
广西,new_confirm,2
陕西,confirm,242
陕西,dead,0
陕西,heal,89
陕西,new_confirm,2
云南,confirm,173
云南,dead,0
云南,heal,57
云南,new_confirm,1
海南,confirm,163
海南,dead,4
海南,heal,79
海南,new_confirm,0
贵州,confirm,146
贵州,dead,2
贵州,heal,69
贵州,new_confirm,0
山西,confirm,131
山西,dead,0
山西,heal,61
山西,new_confirm,1
天津,confirm,128
天津,dead,3
天津,heal,48
天津,new_confirm,3
辽宁,confirm,121
辽宁,dead,1
辽宁,heal,55
辽宁,new_confirm,0
甘肃,confirm,91
甘肃,dead,2
甘肃,heal,62
甘肃,new_confirm,0
吉林,confirm,90
吉林,dead,1
吉林,heal,36
吉林,new_confirm,1
新疆,confirm,76
新疆,dead,1
新疆,heal,14
新疆,new_confirm,0
内蒙古,confirm,75
内蒙古,dead,0
内蒙古,heal,9
内蒙古,new_confirm,2
宁夏,confirm,71
宁夏,dead,0
宁夏,heal,42
宁夏,new_confirm,1
香港,confirm,62
香港,dead,2
香港,heal,4
香港,new_confirm,0
台湾,confirm,22
台湾,dead,1
台湾,heal,2
台湾,new_confirm,0
青海,confirm,18
青海,dead,0
青海,heal,15
青海,new_confirm,0
澳门,confirm,10
澳门,dead,0
澳门,heal,5
澳门,new_confirm,0
西藏,confirm,1
西藏,dead,0
西藏,heal,1
西藏,new_confirm,0
