province,confirm,dead,heal,new_confirm
湖北,61682,1921,9128,1746
广东,1331,5,571,3
河南,1262,19,552,5
浙江,1173,0,544,1
湖南,1008,4,542,1
安徽,986,6,424,4
江西,934,1,362,1
江苏,631,0,296,2
重庆,555,5,254,2
山东,544,3,215,1
四川,514,3,177,6
黑龙江,470,12,108,6
北京,393,4,145,6
上海,333,2,186,0
河北,306,4,136,4
福建,293,0,96,1
广西,244,2,76,2
陕西,242,0,89,2
云南,173,0,57,1
海南,163,4,79,0
贵州,146,2,69,0
山西,131,0,61,1
天津,128,3,48,3
辽宁,121,1,55,0
甘肃,91,2,62,0
吉林,90,1,36,1
新疆,76,1,14,0
内蒙古,75,0,9,2
宁夏,71,0,42,1
香港,62,2,4,0
台湾,22,1,2,0
青海,18,0,15,0
澳门,10,0,5,0
西藏,1,0,1,0
