province,confirm,dead,heal,new_confirm
湖北,63454,2250,13557,366
广东,1339,5,720,6
河南,1270,19,802,3
浙江,1205,1,694,2
湖南,1013,4,670,2
安徽,989,6,620,1
江西,934,1,544,0
山东,750,4,301,2
江苏,631,0,387,0
重庆,572,6,316,5
四川,526,3,242,1
黑龙江,479,12,183,0
北京,399,4,178,3
上海,335,3,227,1
河北,309,6,184,1
福建,293,1,150,0
广西,249,2,99,3
陕西,245,1,140,0
云南,174,2,107,0
海南,168,4,96,0
贵州,146,2,90,0
天津,135,3,64,4
山西,132,0,78,0
辽宁,121,1,66,0
甘肃,91,2,76,0
吉林,91,1,46,0
新疆,76,2,24,0
内蒙古,75,0,22,0
宁夏,71,0,48,0
香港,69,2,10,0
台湾,26,1,2,0
青海,18,0,18,0
澳门,10,0,6,0
西藏,1,0,1,0
