date,confirm,suspect,dead,heal
2020-01-13,41,0,1,0
2020-01-14,41,0,1,0
2020-01-15,41,0,2,5
2020-01-16,45,0,2,8
2020-01-17,62,0,2,12
2020-01-18,198,0,3,17
2020-01-19,275,0,4,18
2020-01-20,291,54,6,25
2020-01-21,440,37,9,25
2020-01-22,574,393,17,25
2020-01-23,835,1072,25,34
2020-01-24,1297,1965,41,38
2020-01-25,1985,2684,56,49
2020-01-26,2761,5794,80,51
2020-01-27,4535,6973,106,60
2020-01-28,5997,9239,132,103
2020-01-29,7736,12167,170,124
2020-01-30,9720,15238,213,171
2020-01-31,11821,17988,259,243
2020-02-01,14411,19544,304,328
2020-02-02,17238,21558,361,475
2020-02-03,20471,23214,425,632
2020-02-04,24363,23260,491,892
2020-02-05,28060,24702,564,1153
2020-02-06,31211,26359,637,1542
2020-02-07,34598,27657,723,2052
2020-02-08,37251,28942,812,2651
2020-02-09,40235,23589,909,3283
2020-02-10,42708,21675,1017,3998
2020-02-11,44730,16067,1114,4742
2020-02-12,59882,13435,1368,5915
2020-02-13,63932,10109,1381,6728
2020-02-14,66576,8969,1524,8101
2020-02-15,68584,8228,1666,9425
2020-02-16,70635,7264,1772,10853
2020-02-17,72528,6242,1870,12561
2020-02-18,74279,5248,2006,14387
2020-02-19,75002,4922,2121,16157
2020-02-20,75993,5206,2239,18266
2020-02-21,76392,5365,2348,20673
