1,疫情,20996
2,防控,15578
3,组织,10487
4,工作,10280
5,社会,9822
6,协会,5888
7,捐赠,5876
8,企业,5562
9,服务,5185
10,万元,4269
11,物资,4246
12,积极,3936
13,肺炎,3746
14,做好,3511
15,防疫,3453
16,社区,3397
17,口罩,3241
18,新型,3225
19,会员,3060
20,冠状病毒,3027
21,慈善,2849
22,开展,2828
23,参与,2743
24,商会,2616
25,志愿者,2593
26,抗击,2561
27,一线,2534
28,提供,2371
29,宣传,2359
30,医院,2200
31,通过,2186
32,人员,2182
33,行业,2178
34,捐款,2137
35,要求,2088
36,感染,2060
37,心理,2042
38,防护,1950
39,爱心,1941
40,会员单位,1913
41,复工,1895
42,单位,1846
43,关于,1810
44,公益,1792
45,行业协会,1781
46,倡议,1778
47,进行,1773
48,相关,1730
49,武汉,1693
50,活动,1692
51,发出,1651
52,发挥,1638
53,动员,1586
54,责任,1584
55,及时,1581
56,保障,1574
57,志愿,1517
58,引导,1516
59,加强,1493
60,有序,1490
61,机构,1447
62,管理,1443
63,情况,1439
64,部署,1428
65,基金会,1420
66,支持,1407
67,全市,1407
68,党员,1369
69,信息,1353
70,发布,1327
71,医用,1308
72,打赢,1302
73,力量,1273
74,服务中心,1266
75,阻击战,1250
76,生产,1244
77,抗疫,1232
78,社工,1222
79,消毒,1212
80,有限公司,1207
81,民政局,1192
82,总会,1170
83,号召,1169
84,同时,1143
85,用于,1142
86,协助,1122
87,价值,1115
88,湖北,1101
89,中国,1100
90,专业,1100
91,优势,1084
92,医疗,1080
93,累计,1076
94,工作人员,1068
95,配合,1066
96,主动,1059
97,期间,1055
98,群众,1054
99,行动,1048
100,登记,1045
101,中心,1040
102,措施,1038
103,通知,1036
104,募捐,1027
105,联合,1026
106,自身,1025
107,健康,1021
108,落实,1017
109,时间,989
110,有关,988
111,消毒液,981
112,复产,972
113,知识,970
114,部门,962
115,发展,956
116,广大,954
117,安全,952
118,应急,949
119,社会工作,945
120,人民,942
121,倡议书,939
122,作用,929
123,党组织,919
124,10,910
125,新冠,897
126,作为,892
127,党委,888
128,坚决,888
129,助力,883
130,指导,877
131,科学,868
132,目前,860
133,截至,855
134,担当,855
135,员工,843
136,政府,843
137,党支部,842
138,重要,841
139,第一,840
140,方式,815
141,全省,814
142,支援,813
143,依法,809
144,红十字会,809
145,平台,803
146,集团,795
147,充分发挥,794
148,帮助,789
149,排查,788
150,捐款捐物,767
151,援助,767
152,微信,754
153,按照,754
154,采购,747
155,全体,744
156,资金,742
157,免费,742
158,确保,741
159,山东省,735
160,线上,734
161,各级,721
162,街道,716
163,积极响应,714
164,心理咨询,695
165,全力,686
166,100,684
167,联合会,679
168,北京,677
169,各类,674
170,防护服,670
171,党中央,663
172,应对,656
173,居民,649
174,发放,633
175,需求,631
176,共同,626
177,30,626
178,成立,626
179,以及,623
180,隔离,622
181,广州市,622
182,接收,620
183,厦门市,620
184,全国,619
185,公司,612
186,战斗,611
187,医护人员,611
188,精神,610
189,公众,609
190,湖北省,608
191,20,605
192,习近平,599
193,我们,593
194,贡献,590
195,地区,587
196,当前,585
197,问题,580
198,总书记,578
199,其中,573
200,工作者,569
201,积极参与,568
202,培训,568
203,热线,568
204,决策,567
205,善款,563
206,各项,561
207,紧急,560
208,1000,560
209,发生,560
210,2020,557
211,个人,545
212,就是,545
213,网络,544
214,发动,536
215,以来,534
216,公开,531
217,民政厅,529
218,有效,528
219,安排,528
220,疫区,525
221,协调,524
222,武汉市,524
223,款物,523
224,电话,521
225,他们,521
226,酒精,515
227,发起,514
228,政治,514
229,全面,513
230,西安市,511
231,开通,509
232,严格,507
233,领导,499
234,24,498
235,小区,498
236,资源,497
237,各地,492
238,疏导,489
239,政策,483
240,统一,480
241,维护,479
242,贯彻落实,478
243,生活,476
244,先锋,473
245,重点,471
246,需要,471
247,根据,470
248,众志成城,470
249,购买,463
250,市民,463
251,企业家,461
252,响应,453
253,产品,452
254,使用,449
255,养老,449
256,困难,448
257,项目,448
258,结合,448
259,消杀,448
260,咨询,447
261,募集,447
262,投入,445
263,稳定,445
264,200,444
265,履行,443
266,手套,443
267,供应,441
268,副会长,441
269,防治,441
270,学会,441
271,联系,440
272,了解,438
273,设备,437
274,救援,436
275,强化,435
276,解决,433
277,重庆市,432
278,家庭,429
279,人次,427
280,进一步,426
281,共计,426
282,小时,425
283,机关,424
284,一次性,423
285,厦门,423
286,救援队,420
287,做到,415
288,护目镜,413
289,影响,410
290,体温,410
291,经营,409
292,预防,406
293,每天,404
294,聚集,398
295,广泛,397
296,教育,397
297,促进会,397
298,提高,397
299,管理局,396
300,急需,395
301,对接,392
302,筹集,391
303,针对,388
304,科技,387
305,采取,387
306,检测,387
307,部分,387
308,市场,386
309,这场,384
