话题链接,话题内容,楼主ID,楼主昵称,楼主性别,发布日期,发布时间,转发量,评论量,点赞量,评论者ID,评论者昵称,评论者性别,评论日期,评论时间,评论内容
https://m.weibo.cn/detail/4484550141084004,【转扩！#急寻珠海境外输入病例密切接触者#】3月20日，广东省卫生健康委公布，珠海市新增1例境外输入新冠肺炎确诊病例。第1例境外（英国）输入病例，男，54岁，几内亚共和国籍，独自一人在广州经商约15年，家人在英国伦敦居住，1月15日至3月16日期间回伦敦探亲。　　该病例于3月19日中午确诊，确诊前主要的活动轨迹（以下时间均为北京时间）：　　3月16日4:20，从英国伦敦希斯罗机场T3乘坐阿联酋航空EK004到达迪拜（座位号59G）。　　3月16日11:20，到迪拜机场T3。　　3月16日13:55，从迪拜机场T3乘坐阿联酋航空EK0380飞香港（座位号50B）。　　3月16日21:05，到达香港机场T1，在香港机场停留一晚。　　3月17日8:00，自述从香港机场步行到港珠澳大桥香港口岸，8:30乘港珠澳大桥单层穿梭巴士（车牌 WG3810，坐最后一排），中午从港珠澳大桥珠海公路口岸旅检大楼入境，入关时经海关排查，健康申报及体温检测均无异常，由海交移交给口岸人员，安排其乘坐我市入境人员接送专车到达集中安置点，在办理相关手续时发现体温37.4℃，即由救护车送往就近医院发热门诊就诊。　　3月17日下午，患者胸部CT提示符合病毒性肺炎影像学特点。当晚用负压救护车转送到中大五院隔离治疗。　　3月18日下午，中大五院对患者采样检测核酸，当晚出结果为阳性。患者出现病情加重，入住负压病房重症监护室。　　3月19日上午，市疾控中心完成复核，核酸检测结果亦为阳性。　　患者自述在乘机、乘车及机场、口岸逗留期间均佩戴口罩。　　经专业流行病学调查排查，该病例入境后有3名密切接触者，己在我市实施隔离观察，其它相关接触人员在继续追踪。　　请与该病例乘坐同航班、并坐在其同排和前后各三排的旅客，尽快与珠海市疾控中心联系（联系电话：13392982088）。与该病例乘坐同班港珠澳大桥单层穿梭巴士的旅客，请尽快致电珠海市疾控中心进行咨询，获取健康指引。网页链接,2803301701,人民日报,m,2020/3/20,13:52:15,3184,4964,65293, , , , , , 
https://m.weibo.cn/detail/4484545769924793,【#海南48岁民警牺牲战疫一线#】3月15日，海南三亚南山派出所民警石关云突发疾病，晕倒在防疫一线。17日8时25分，经抢救无效，石关云的生命永远定格在了48岁的这个春天。作为所在派出所在岗时间最长民警，大家都称他“石哥”、“石叔”。三周前他父亲去世，他知道派出所任务重，安葬好老人后马上回到岗位。一路走好！网页链接,2803301701,人民日报,m,2020/3/20,13:34:53,703,2184,15669, , , , , , 
https://m.weibo.cn/detail/4484685713006511,【#驻英国大使回应留学生回国#】中国驻英国大使刘晓明：在英国有22万中国留学生。如马上毕业，回国也是很自然的；但有很多学生是刚刚入学，建议做好规划跟校方保持联系、跟内政部门了解签证情况等。我们特别关注的是寄托在英国家庭的小留学生，也在努力跟国内部门沟通，为有特殊需要要回国的学生解决难题。#白岩松对话中国驻英国大使# 央视新闻的微博视频,2656274875,央视新闻,m,2020/3/20,22:50:58,428,1444,26403, , , , , , 
https://m.weibo.cn/detail/4484556004544428,【#古特雷斯称全球经济衰退可能破纪录#】19日，联合国秘书长古特雷斯在纽约总部举行视频记者会。古特雷斯表示：我们正面临着联合国75年历史上前所未见的全球健康危机。全球经济衰退基本是肯定的，并可能是破纪录的程度。到今年年底，全世界的工人可能损失多达3.4万亿美元的收入。这是一场需要团结应对，才能度过的人类危机。 央视新闻的微博视频,2656274875,央视新闻,m,2020/3/20,14:15:33,1646,2249,28166, , , , , , 
https://m.weibo.cn/detail/4484528930608470,【#捷克总统说只有中国向其提供医疗物资援助#】当地时间3月19日晚上，捷克总统泽曼就新冠肺炎疫情发表电视讲话时表示：目前最大的困难是医疗物资短缺，“因此，我要感谢中华人民共和国，因为中国是唯一一个向捷克提供医疗物资援助的国家。目前，首批病毒检测试剂已抵达捷克”。此前，中国疫情形势严峻的时刻，泽曼曾亲自号召捷克社会各界捐款捐物，并专门派军机为中国运送紧急医疗物资。（总台记者徐明）,2656274875,央视新闻,m,2020/3/20,12:27:58,2380,6138,206984, , , , , , 
https://m.weibo.cn/detail/4484694416256202,【#春分已至英雄可归# 广东援湖北医疗队523名成员返程】今天，广东援助湖北的523名医疗队员圆满完成任务启程返粤，向着曾经奋斗过的城市挥手告别。出发前，列车乘务员和他们互相比心，执勤特警也敬礼相送。有医疗队成员写下了临别祝愿：“热干面，要好好的！”#谢谢你们为湖北拼过命#！（摄影/田悦） ,2656274875,央视新闻,m,2020/3/20,23:25:33,328,389,3497, , , , , , 
https://m.weibo.cn/detail/4484684593478243,【#意大利急救热线专员病逝#，逝前曾安抚妻子】澎湃视频的微博视频 3月14日，意大利一名46岁医院接线员因感染新冠肺炎在家中去世。患者去世前曾叮嘱妻子睡觉，让其不要担心自己。他也是意大利因新冠肺炎死亡的最年轻患者之一。意大利急救热线专员病逝，逝前曾安抚妻子 ,5044281310,澎湃新闻,m,2020/3/20,22:46:31,117,208,756, , , , , , 
https://m.weibo.cn/detail/4484684727979475,【#隔玻璃亲吻的女护士与男友领证#】 因“隔着玻璃的一吻”感动了许多网友的护士陈颖，今天结婚了。大年初一，浙大四院的陈颖接到护士长的通知紧急赶回医院参加培训，此后作为首批负压病房护士在一线救治新冠肺炎确诊病人。男友黄千瑞一直默默支持她，无法拥抱、亲吻，就用另一种方式陪伴她。两人约定，等疫情结束，第一件事就是去领证。尽管因抗疫推迟了 36 天，这个心愿终于实现了。@新华视点  新华视点的微博视频,1663072851,中国日报,m,2020/3/20,22:47:03,310,440,7028, , , , , , 
https://m.weibo.cn/detail/4484686480947523,【支援鄂州医疗队首批433人踏上归途 沿途一市民下跪送行】3月20日，贵州对口支援鄂州医疗队首批433名队员踏上归途。今天也是鄂州解禁第一天，每家可以出门一个人，市民们欢送援鄂医疗队返程，一路上，送行的群众不断欢呼，一位市民更是激动地下跪感谢。医疗队队员说当时离得较远，认不出他是谁，但自己还是被深深的感动。（贵州广播电视台）正能量News的秒拍视频,1845864154,看看新闻KNEWS,m,2020/3/20,22:54:01,71,78,763, , , , , , 
https://m.weibo.cn/detail/4484685533028431,【人民微评：欢迎最可爱的人，就该用最高礼遇】“过水门”接风洗尘，“铁骑”护送，国宴级大厨“投喂”，#各地最高礼遇迎接援鄂医护回家#。用心、用力、用情，每种仪式都传达朴素信息：为人民拼命，人民铭记心间；每种厚待都传导坚定的价值取向，呵护英雄才会英雄辈出。白衣执甲，英雄凯旋，欢迎回家！人民日报的微博视频,2803301701,人民日报,m,2020/3/20,22:50:15,1800,990,6713, , , , , , 
